Tema,Tarefas
Política Internacional,Cria um enigma ou puzzle matemático baseado em {tema}.; Elabora um workshop educativo prático sobre {tema}.; Faz uma entrevista com um especialista na área de {tema} e resume os pontos-chave.; Faz um diagrama ilustrado detalhando o funcionamento de {tema}.; Cria um TikTok educativo explicando um conceito de {tema} de forma criativa.; Escreve um código de programação simples que ilustre um conceito de {tema}.
Programação em Python,Elabora um plano de aula sobre {tema} para ensinar a um aluno do 9º ano.; Escreve um argumento defendendo e outro contra {tema}.; Faz uma comparação entre {tema} e um conceito semelhante de outra área.; Cria um diário de estudo para aprender sobre {tema} em 5 dias.; Faz um jogo de perguntas e respostas sobre {tema} para testar os teus conhecimentos.; Faz um diagrama ilustrado detalhando o funcionamento de {tema}.
Redes Neurais Artificiais,Descobre 3 mitos sobre {tema} e desmistifica-os com base científica.; Cria um jogo de cartas onde cada carta tem um conceito sobre {tema}.; Faz um debate com um amigo sobre {tema} e anota os pontos principais.; Cria um TikTok educativo explicando um conceito de {tema} de forma criativa.; Faz uma comparação entre {tema} e um conceito semelhante de outra área.; Escreve um ensaio sobre como {tema} influencia a sociedade atual.
Energia Nuclear,Cria um diário de estudo para aprender sobre {tema} em 5 dias.; Desenha um cartaz explicativo sobre {tema} e coloca na tua escola.; Pesquisa e resume um artigo científico sobre {tema}.; Elabora um workshop educativo prático sobre {tema}.; Desenvolve uma app ou jogo educativo para ensinar sobre {tema}.; Pesquisa como {tema} está ligado a outra área do conhecimento e explica a conexão.
Arte Renascentista,Pesquisa sobre as aplicações modernas de {tema} na tecnologia.; Elabora um plano de aula sobre {tema} para ensinar a um aluno do 9º ano.; Imagina que vives num mundo sem {tema}. Como seria o impacto na tua vida?; Desenha um cartaz explicativo sobre {tema} e coloca na tua escola.; Cria um enigma ou puzzle matemático baseado em {tema}.; Pesquisa como {tema} está ligado a outra área do conhecimento e explica a conexão.
Psicologia Comportamental,Descobre uma inovação recente relacionada a {tema} e explica como funciona.; Escreve um guião para um vídeo de YouTube educativo sobre {tema}.; Faz um pequeno vídeo explicando {tema} como se fosses um professor.; Cria um quiz de 10 perguntas sobre {tema} e testa os teus amigos.; Imagina que vives num mundo sem {tema}. Como seria o impacto na tua vida?; Explica {tema} em apenas 5 frases para um amigo que nunca ouviu falar sobre isso.
Fotossíntese,Faz uma simulação real ou virtual de um fenómeno relacionado a {tema}.; Escreve um artigo de opinião sobre a importância de {tema} na sociedade.; Escreve um guião para um vídeo de YouTube educativo sobre {tema}.; Escreve uma história fictícia onde {tema} desempenha um papel crucial.; Cria um jogo de tabuleiro onde {tema} é a base da mecânica do jogo.; Desenvolve um podcast curto sobre {tema} e partilha com colegas.
Robótica e Automação,Desenvolve uma app ou jogo educativo para ensinar sobre {tema}.; Cria um TikTok educativo explicando um conceito de {tema} de forma criativa.; Desenha uma linha do tempo dos eventos mais importantes de {tema}.; Cria um jogo de tabuleiro onde {tema} é a base da mecânica do jogo.; Pesquisa e resume um artigo científico sobre {tema}.; Faz um jogo de perguntas e respostas sobre {tema} para testar os teus conhecimentos.
Fotossíntese,Descobre 3 mitos sobre {tema} e desmistifica-os com base científica.; Faz um jogo de perguntas e respostas sobre {tema} para testar os teus conhecimentos.; Escreve um argumento defendendo e outro contra {tema}.; Faz um pequeno vídeo explicando {tema} como se fosses um professor.; Encontra um documentário sobre {tema} e faz um resumo dos pontos principais.; Pesquisa como {tema} é abordado em diferentes culturas e países.
Cálculo Diferencial,Escreve uma história fictícia onde {tema} desempenha um papel crucial.; Faz um diagrama ilustrado detalhando o funcionamento de {tema}.; Faz um pequeno vídeo explicando {tema} como se fosses um professor.; Faz uma comparação entre {tema} e um conceito semelhante de outra área.; Cria um website simples que explique {tema} para iniciantes.; Descobre 3 mitos sobre {tema} e desmistifica-os com base científica.
Bioética,Desenvolve um podcast curto sobre {tema} e partilha com colegas.; Faz uma comparação entre {tema} e um conceito semelhante de outra área.; Faz uma entrevista com um especialista na área de {tema} e resume os pontos-chave.; Cria um desafio de 30 dias para aprender algo novo sobre {tema} todos os dias.; Descobre 3 mitos sobre {tema} e desmistifica-os com base científica.; Descobre uma inovação recente relacionada a {tema} e explica como funciona.
Impacto das Redes Sociais,Elabora um relatório sobre os desafios futuros relacionados com {tema}.; Faz uma comparação entre {tema} e um conceito semelhante de outra área.; Cria um diário fictício de alguém que viveu um evento histórico ligado a {tema}.; Faz um pequeno vídeo explicando {tema} como se fosses um professor.; Cria um jogo de tabuleiro onde {tema} é a base da mecânica do jogo.; Faz um diagrama ilustrado detalhando o funcionamento de {tema}.
Neurociência,Encontra e analisa um caso real que envolva {tema}.; Cria um diário de estudo para aprender sobre {tema} em 5 dias.; Descobre uma inovação recente relacionada a {tema} e explica como funciona.; Cria uma experiência científica para demonstrar um princípio de {tema}.; Escreve um argumento defendendo e outro contra {tema}.; Cria um TikTok educativo explicando um conceito de {tema} de forma criativa.
Expansão Marítima Portuguesa,Encontra um documentário sobre {tema} e faz um resumo dos pontos principais.; Faz uma simulação real ou virtual de um fenómeno relacionado a {tema}.; Cria um TikTok educativo explicando um conceito de {tema} de forma criativa.; Cria um mapa mental sobre {tema} com pelo menos 5 tópicos principais.; Cria uma experiência científica para demonstrar um princípio de {tema}.; Escreve uma história fictícia onde {tema} desempenha um papel crucial.
Matemática na Música,Escreve um discurso político que mencione a importância de {tema}.; Faz um jogo de perguntas e respostas sobre {tema} para testar os teus conhecimentos.; Cria um mapa mental sobre {tema} com pelo menos 5 tópicos principais.; Explica {tema} em apenas 5 frases para um amigo que nunca ouviu falar sobre isso.; Imagina que vives num mundo sem {tema}. Como seria o impacto na tua vida?; Faz um diagrama ilustrado detalhando o funcionamento de {tema}.
Expansão Marítima Portuguesa,Escreve um poema ou música sobre {tema}.; Desenvolve uma app ou jogo educativo para ensinar sobre {tema}.; Elabora um workshop educativo prático sobre {tema}.; Cria uma experiência científica para demonstrar um princípio de {tema}.; Cria um desafio de 30 dias para aprender algo novo sobre {tema} todos os dias.; Pesquisa sobre as aplicações modernas de {tema} na tecnologia.
Criatividade e Inovação,Cria uma experiência científica para demonstrar um princípio de {tema}.; Desenvolve uma app ou jogo educativo para ensinar sobre {tema}.; Cria um desafio de 30 dias para aprender algo novo sobre {tema} todos os dias.; Cria um quiz de 10 perguntas sobre {tema} e testa os teus amigos.; Elabora um relatório sobre os desafios futuros relacionados com {tema}.; Cria um mapa mental sobre {tema} com pelo menos 5 tópicos principais.
Mecânica Quântica,"Cria um guia de estudo com resumos, exercícios e dicas sobre {tema}.; Elabora um workshop educativo prático sobre {tema}.; Faz um estudo estatístico e analisa gráficos sobre {tema}.; Elabora um plano de aula sobre {tema} para ensinar a um aluno do 9º ano.; Cria um desafio de 30 dias para aprender algo novo sobre {tema} todos os dias.; Pesquisa e resume um artigo científico sobre {tema}."
História da Medicina,Faz uma entrevista com um especialista na área de {tema} e resume os pontos-chave.; Faz uma comparação entre {tema} e um conceito semelhante de outra área.; Faz uma simulação real ou virtual de um fenómeno relacionado a {tema}.; Escreve uma história fictícia onde {tema} desempenha um papel crucial.; Escreve um discurso político que mencione a importância de {tema}.; Desenha um infográfico para explicar {tema} de forma visual.
Ética na Inteligência Artificial,Descobre uma inovação recente relacionada a {tema} e explica como funciona.; Cria um enigma ou puzzle matemático baseado em {tema}.; Escreve um artigo de opinião sobre a importância de {tema} na sociedade.; Faz um jogo de perguntas e respostas sobre {tema} para testar os teus conhecimentos.; Faz uma comparação entre {tema} e um conceito semelhante de outra área.; Escreve um guião para um vídeo de YouTube educativo sobre {tema}.
Economia Sustentável,"Cria um guia de estudo com resumos, exercícios e dicas sobre {tema}.; Faz uma simulação real ou virtual de um fenómeno relacionado a {tema}.; Elabora um workshop educativo prático sobre {tema}.; Cria um TikTok educativo explicando um conceito de {tema} de forma criativa.; Encontra e analisa um caso real que envolva {tema}.; Cria um diário fictício de alguém que viveu um evento histórico ligado a {tema}."
Bioética,Cria um TikTok educativo explicando um conceito de {tema} de forma criativa.; Desenvolve uma app ou jogo educativo para ensinar sobre {tema}.; Descobre uma inovação recente relacionada a {tema} e explica como funciona.; Faz um diagrama ilustrado detalhando o funcionamento de {tema}.; Pesquisa sobre as aplicações modernas de {tema} na tecnologia.; Descobre 3 mitos sobre {tema} e desmistifica-os com base científica.
Psicologia Comportamental,Faz um debate com um amigo sobre {tema} e anota os pontos principais.; Cria um jogo de tabuleiro onde {tema} é a base da mecânica do jogo.; Escreve uma história fictícia onde {tema} desempenha um papel crucial.; Pesquisa como {tema} está ligado a outra área do conhecimento e explica a conexão.; Desenha uma linha do tempo dos eventos mais importantes de {tema}.; Escreve um código de programação simples que ilustre um conceito de {tema}.
O Ciclo da Água,Escreve uma história fictícia onde {tema} desempenha um papel crucial.; Cria um mapa mental sobre {tema} com pelo menos 5 tópicos principais.; Encontra e analisa um caso real que envolva {tema}.; Pesquisa como {tema} está ligado a outra área do conhecimento e explica a conexão.; Faz um jogo de perguntas e respostas sobre {tema} para testar os teus conhecimentos.; Pesquisa e resume um artigo científico sobre {tema}.
Eletricidade e Magnetismo,Escreve um poema ou música sobre {tema}.; Pesquisa como {tema} é abordado em diferentes culturas e países.; Faz uma simulação real ou virtual de um fenómeno relacionado a {tema}.; Cria um jogo de tabuleiro onde {tema} é a base da mecânica do jogo.; Elabora um relatório sobre os desafios futuros relacionados com {tema}.; Escreve um discurso político que mencione a importância de {tema}.
Reações Químicas,Desenvolve uma app ou jogo educativo para ensinar sobre {tema}.; Cria um enigma ou puzzle matemático baseado em {tema}.; Cria uma experiência científica para demonstrar um princípio de {tema}.; Escreve um argumento defendendo e outro contra {tema}.; Cria um website simples que explique {tema} para iniciantes.; Desenha uma linha do tempo dos eventos mais importantes de {tema}.
Filósofos Gregos,"Faz um diagrama ilustrado detalhando o funcionamento de {tema}.; Imagina que vives num mundo sem {tema}. Como seria o impacto na tua vida?; Pesquisa e resume um artigo científico sobre {tema}.; Cria um jogo de tabuleiro onde {tema} é a base da mecânica do jogo.; Desenha um infográfico para explicar {tema} de forma visual.; Cria um guia de estudo com resumos, exercícios e dicas sobre {tema}."
Reações Químicas,Desenvolve um podcast curto sobre {tema} e partilha com colegas.; Cria uma experiência científica para demonstrar um princípio de {tema}.; Pesquisa como {tema} está ligado a outra área do conhecimento e explica a conexão.; Faz um jogo de perguntas e respostas sobre {tema} para testar os teus conhecimentos.; Pesquisa sobre as aplicações modernas de {tema} na tecnologia.; Descobre uma inovação recente relacionada a {tema} e explica como funciona.
Linguística e Origem das Línguas,"Desenha uma linha do tempo dos eventos mais importantes de {tema}.; Cria um guia de estudo com resumos, exercícios e dicas sobre {tema}.; Pesquisa como {tema} é abordado em diferentes culturas e países.; Faz uma simulação real ou virtual de um fenómeno relacionado a {tema}.; Desenvolve um podcast curto sobre {tema} e partilha com colegas.; Escreve uma história fictícia onde {tema} desempenha um papel crucial."
Blockchain e Criptomoedas,"Faz um jogo de perguntas e respostas sobre {tema} para testar os teus conhecimentos.; Cria um diário fictício de alguém que viveu um evento histórico ligado a {tema}.; Cria um guia de estudo com resumos, exercícios e dicas sobre {tema}.; Cria um diário de estudo para aprender sobre {tema} em 5 dias.; Escreve um guião para um vídeo de YouTube educativo sobre {tema}.; Cria um jogo de tabuleiro onde {tema} é a base da mecânica do jogo."
Geometria Fractal,Pesquisa e resume um artigo científico sobre {tema}.; Elabora um plano de aula sobre {tema} para ensinar a um aluno do 9º ano.; Faz um diagrama ilustrado detalhando o funcionamento de {tema}.; Explica {tema} em apenas 5 frases para um amigo que nunca ouviu falar sobre isso.; Desenvolve um podcast curto sobre {tema} e partilha com colegas.; Desenha um cartaz explicativo sobre {tema} e coloca na tua escola.
Matemática na Música,Escreve um argumento defendendo e outro contra {tema}.; Escreve um ensaio sobre como {tema} influencia a sociedade atual.; Cria um jogo de cartas onde cada carta tem um conceito sobre {tema}.; Elabora um relatório sobre os desafios futuros relacionados com {tema}.; Cria um desafio de 30 dias para aprender algo novo sobre {tema} todos os dias.; Elabora um workshop educativo prático sobre {tema}.
Revolução Francesa,Faz uma entrevista com um especialista na área de {tema} e resume os pontos-chave.; Faz uma simulação real ou virtual de um fenómeno relacionado a {tema}.; Escreve um ensaio sobre como {tema} influencia a sociedade atual.; Escreve um artigo de opinião sobre a importância de {tema} na sociedade.; Cria um mapa mental sobre {tema} com pelo menos 5 tópicos principais.; Elabora um workshop educativo prático sobre {tema}.
Literatura Clássica,Explica {tema} em apenas 5 frases para um amigo que nunca ouviu falar sobre isso.; Desenvolve uma app ou jogo educativo para ensinar sobre {tema}.; Cria um jogo de tabuleiro onde {tema} é a base da mecânica do jogo.; Cria um website simples que explique {tema} para iniciantes.; Escreve um argumento defendendo e outro contra {tema}.; Cria um jogo de cartas onde cada carta tem um conceito sobre {tema}.
Eletricidade e Magnetismo,Faz uma entrevista com um especialista na área de {tema} e resume os pontos-chave.; Elabora um workshop educativo prático sobre {tema}.; Cria um quiz de 10 perguntas sobre {tema} e testa os teus amigos.; Cria um TikTok educativo explicando um conceito de {tema} de forma criativa.; Cria um enigma ou puzzle matemático baseado em {tema}.; Pesquisa e resume um artigo científico sobre {tema}.
Filósofos Gregos,"Cria uma apresentação em PowerPoint sobre os conceitos principais de {tema}.; Cria um TikTok educativo explicando um conceito de {tema} de forma criativa.; Escreve uma história fictícia onde {tema} desempenha um papel crucial.; Escreve um código de programação simples que ilustre um conceito de {tema}.; Pesquisa como {tema} está ligado a outra área do conhecimento e explica a conexão.; Cria um guia de estudo com resumos, exercícios e dicas sobre {tema}."
Arquitetura Gótica,Escreve um ensaio sobre como {tema} influencia a sociedade atual.; Escreve uma história fictícia onde {tema} desempenha um papel crucial.; Escreve um poema ou música sobre {tema}.; Pesquisa e resume um artigo científico sobre {tema}.; Faz uma entrevista com um especialista na área de {tema} e resume os pontos-chave.; Faz uma comparação entre {tema} e um conceito semelhante de outra área.
Redes Neurais Artificiais,Descobre uma inovação recente relacionada a {tema} e explica como funciona.; Pesquisa como {tema} é abordado em diferentes culturas e países.; Escreve um artigo de opinião sobre a importância de {tema} na sociedade.; Imagina que vives num mundo sem {tema}. Como seria o impacto na tua vida?; Faz uma comparação entre {tema} e um conceito semelhante de outra área.; Elabora um relatório sobre os desafios futuros relacionados com {tema}.
Teoria da Relatividade,Faz uma entrevista com um especialista na área de {tema} e resume os pontos-chave.; Descobre uma inovação recente relacionada a {tema} e explica como funciona.; Cria um desafio de 30 dias para aprender algo novo sobre {tema} todos os dias.; Cria um diário fictício de alguém que viveu um evento histórico ligado a {tema}.; Escreve um guião para um vídeo de YouTube educativo sobre {tema}.; Desenha um cartaz explicativo sobre {tema} e coloca na tua escola.
Literatura Clássica,Imagina que vives num mundo sem {tema}. Como seria o impacto na tua vida?; Faz um pequeno vídeo explicando {tema} como se fosses um professor.; Escreve uma história fictícia onde {tema} desempenha um papel crucial.; Faz um diagrama ilustrado detalhando o funcionamento de {tema}.; Elabora um relatório sobre os desafios futuros relacionados com {tema}.; Pesquisa como {tema} está ligado a outra área do conhecimento e explica a conexão.
O Sistema Solar,Cria um diário fictício de alguém que viveu um evento histórico ligado a {tema}.; Cria um TikTok educativo explicando um conceito de {tema} de forma criativa.; Cria uma apresentação em PowerPoint sobre os conceitos principais de {tema}.; Elabora um workshop educativo prático sobre {tema}.; Escreve um argumento defendendo e outro contra {tema}.; Faz uma simulação real ou virtual de um fenómeno relacionado a {tema}.
Redes Neurais Artificiais,"Cria uma apresentação em PowerPoint sobre os conceitos principais de {tema}.; Elabora um relatório sobre os desafios futuros relacionados com {tema}.; Escreve um guião para um vídeo de YouTube educativo sobre {tema}.; Pesquisa como {tema} é abordado em diferentes culturas e países.; Cria um guia de estudo com resumos, exercícios e dicas sobre {tema}.; Pesquisa como {tema} está ligado a outra área do conhecimento e explica a conexão."
Direitos Humanos,Elabora um workshop educativo prático sobre {tema}.; Faz um estudo estatístico e analisa gráficos sobre {tema}.; Pesquisa como {tema} está ligado a outra área do conhecimento e explica a conexão.; Faz um diagrama ilustrado detalhando o funcionamento de {tema}.; Escreve um código de programação simples que ilustre um conceito de {tema}.; Desenvolve um podcast curto sobre {tema} e partilha com colegas.
Física de Partículas,Pesquisa e resume um artigo científico sobre {tema}.; Desenvolve um podcast curto sobre {tema} e partilha com colegas.; Faz uma entrevista com um especialista na área de {tema} e resume os pontos-chave.; Faz uma simulação real ou virtual de um fenómeno relacionado a {tema}.; Faz um pequeno vídeo explicando {tema} como se fosses um professor.; Descobre uma inovação recente relacionada a {tema} e explica como funciona.
Teorema de Pitágoras,Escreve um discurso político que mencione a importância de {tema}.; Faz uma comparação entre {tema} e um conceito semelhante de outra área.; Faz uma entrevista com um especialista na área de {tema} e resume os pontos-chave.; Faz um diagrama ilustrado detalhando o funcionamento de {tema}.; Descobre uma inovação recente relacionada a {tema} e explica como funciona.; Cria uma experiência científica para demonstrar um princípio de {tema}.
Arte Renascentista,"Escreve um poema ou música sobre {tema}.; Faz um jogo de perguntas e respostas sobre {tema} para testar os teus conhecimentos.; Encontra um documentário sobre {tema} e faz um resumo dos pontos principais.; Cria um mapa mental sobre {tema} com pelo menos 5 tópicos principais.; Cria um guia de estudo com resumos, exercícios e dicas sobre {tema}.; Desenha uma linha do tempo dos eventos mais importantes de {tema}."
Desenvolvimento Sustentável,Escreve um argumento defendendo e outro contra {tema}.; Escreve uma história fictícia onde {tema} desempenha um papel crucial.; Cria um jogo de tabuleiro onde {tema} é a base da mecânica do jogo.; Faz uma simulação real ou virtual de um fenómeno relacionado a {tema}.; Desenha uma linha do tempo dos eventos mais importantes de {tema}.; Cria um enigma ou puzzle matemático baseado em {tema}.
História da Computação,"Faz um estudo estatístico e analisa gráficos sobre {tema}.; Escreve um guião para um vídeo de YouTube educativo sobre {tema}.; Cria um jogo de cartas onde cada carta tem um conceito sobre {tema}.; Escreve um artigo de opinião sobre a importância de {tema} na sociedade.; Faz um pequeno vídeo explicando {tema} como se fosses um professor.; Cria um guia de estudo com resumos, exercícios e dicas sobre {tema}."
Eletricidade e Magnetismo,Cria uma experiência científica para demonstrar um princípio de {tema}.; Faz um debate com um amigo sobre {tema} e anota os pontos principais.; Desenha uma linha do tempo dos eventos mais importantes de {tema}.; Desenvolve uma app ou jogo educativo para ensinar sobre {tema}.; Elabora um plano de aula sobre {tema} para ensinar a um aluno do 9º ano.; Desenha um cartaz explicativo sobre {tema} e coloca na tua escola.
Física de Partículas,"Elabora um workshop educativo prático sobre {tema}.; Escreve uma história fictícia onde {tema} desempenha um papel crucial.; Cria um TikTok educativo explicando um conceito de {tema} de forma criativa.; Encontra um documentário sobre {tema} e faz um resumo dos pontos principais.; Cria um guia de estudo com resumos, exercícios e dicas sobre {tema}.; Desenha uma linha do tempo dos eventos mais importantes de {tema}."
Energia Nuclear,"Desenha um cartaz explicativo sobre {tema} e coloca na tua escola.; Faz uma simulação real ou virtual de um fenómeno relacionado a {tema}.; Faz um debate com um amigo sobre {tema} e anota os pontos principais.; Faz uma entrevista com um especialista na área de {tema} e resume os pontos-chave.; Escreve um artigo de opinião sobre a importância de {tema} na sociedade.; Cria um guia de estudo com resumos, exercícios e dicas sobre {tema}."
Psicologia Comportamental,Desenha um cartaz explicativo sobre {tema} e coloca na tua escola.; Faz uma entrevista com um especialista na área de {tema} e resume os pontos-chave.; Cria um jogo de cartas onde cada carta tem um conceito sobre {tema}.; Pesquisa sobre as aplicações modernas de {tema} na tecnologia.; Faz uma simulação real ou virtual de um fenómeno relacionado a {tema}.; Cria um diário de estudo para aprender sobre {tema} em 5 dias.
Arte Renascentista,Escreve uma história fictícia onde {tema} desempenha um papel crucial.; Desenvolve uma app ou jogo educativo para ensinar sobre {tema}.; Pesquisa sobre as aplicações modernas de {tema} na tecnologia.; Faz uma entrevista com um especialista na área de {tema} e resume os pontos-chave.; Imagina que vives num mundo sem {tema}. Como seria o impacto na tua vida?; Faz um diagrama ilustrado detalhando o funcionamento de {tema}.
Engenharia Aeroespacial,"Desenha um infográfico para explicar {tema} de forma visual.; Cria um guia de estudo com resumos, exercícios e dicas sobre {tema}.; Imagina que vives num mundo sem {tema}. Como seria o impacto na tua vida?; Pesquisa e resume um artigo científico sobre {tema}.; Cria um jogo de cartas onde cada carta tem um conceito sobre {tema}.; Cria um desafio de 30 dias para aprender algo novo sobre {tema} todos os dias."
Desenvolvimento Sustentável,Encontra um documentário sobre {tema} e faz um resumo dos pontos principais.; Descobre 3 mitos sobre {tema} e desmistifica-os com base científica.; Desenha um cartaz explicativo sobre {tema} e coloca na tua escola.; Cria uma apresentação em PowerPoint sobre os conceitos principais de {tema}.; Elabora um workshop educativo prático sobre {tema}.; Escreve um artigo de opinião sobre a importância de {tema} na sociedade.
Redes Neurais Artificiais,Pesquisa como {tema} é abordado em diferentes culturas e países.; Cria um diário fictício de alguém que viveu um evento histórico ligado a {tema}.; Cria uma apresentação em PowerPoint sobre os conceitos principais de {tema}.; Encontra um documentário sobre {tema} e faz um resumo dos pontos principais.; Cria um website simples que explique {tema} para iniciantes.; Elabora um relatório sobre os desafios futuros relacionados com {tema}.
Fotossíntese,Escreve um artigo de opinião sobre a importância de {tema} na sociedade.; Cria um diário fictício de alguém que viveu um evento histórico ligado a {tema}.; Escreve um argumento defendendo e outro contra {tema}.; Faz um pequeno vídeo explicando {tema} como se fosses um professor.; Pesquisa e resume um artigo científico sobre {tema}.; Desenha um infográfico para explicar {tema} de forma visual.
Fotossíntese,Desenha um infográfico para explicar {tema} de forma visual.; Faz uma simulação real ou virtual de um fenómeno relacionado a {tema}.; Desenvolve um podcast curto sobre {tema} e partilha com colegas.; Explica {tema} em apenas 5 frases para um amigo que nunca ouviu falar sobre isso.; Faz um estudo estatístico e analisa gráficos sobre {tema}.; Escreve um código de programação simples que ilustre um conceito de {tema}.
Bioética,Escreve um guião para um vídeo de YouTube educativo sobre {tema}.; Cria uma experiência científica para demonstrar um princípio de {tema}.; Cria um desafio de 30 dias para aprender algo novo sobre {tema} todos os dias.; Pesquisa e resume um artigo científico sobre {tema}.; Pesquisa sobre as aplicações modernas de {tema} na tecnologia.; Descobre uma inovação recente relacionada a {tema} e explica como funciona.
História da Medicina,Elabora um relatório sobre os desafios futuros relacionados com {tema}.; Escreve um argumento defendendo e outro contra {tema}.; Elabora um plano de aula sobre {tema} para ensinar a um aluno do 9º ano.; Faz um jogo de perguntas e respostas sobre {tema} para testar os teus conhecimentos.; Cria um TikTok educativo explicando um conceito de {tema} de forma criativa.; Imagina que vives num mundo sem {tema}. Como seria o impacto na tua vida?
Robótica e Automação,Cria um jogo de tabuleiro onde {tema} é a base da mecânica do jogo.; Pesquisa e resume um artigo científico sobre {tema}.; Elabora um relatório sobre os desafios futuros relacionados com {tema}.; Cria um diário de estudo para aprender sobre {tema} em 5 dias.; Escreve um discurso político que mencione a importância de {tema}.; Escreve uma história fictícia onde {tema} desempenha um papel crucial.
Matemática na Música,Imagina que vives num mundo sem {tema}. Como seria o impacto na tua vida?; Escreve uma história fictícia onde {tema} desempenha um papel crucial.; Escreve um discurso político que mencione a importância de {tema}.; Explica {tema} em apenas 5 frases para um amigo que nunca ouviu falar sobre isso.; Pesquisa sobre as aplicações modernas de {tema} na tecnologia.; Descobre 3 mitos sobre {tema} e desmistifica-os com base científica.
Cálculo Diferencial,Cria um jogo de cartas onde cada carta tem um conceito sobre {tema}.; Elabora um workshop educativo prático sobre {tema}.; Pesquisa como {tema} está ligado a outra área do conhecimento e explica a conexão.; Cria um mapa mental sobre {tema} com pelo menos 5 tópicos principais.; Desenha um cartaz explicativo sobre {tema} e coloca na tua escola.; Escreve uma história fictícia onde {tema} desempenha um papel crucial.
História da Medicina,Faz um estudo estatístico e analisa gráficos sobre {tema}.; Cria um diário de estudo para aprender sobre {tema} em 5 dias.; Faz uma simulação real ou virtual de um fenómeno relacionado a {tema}.; Desenvolve um podcast curto sobre {tema} e partilha com colegas.; Descobre uma inovação recente relacionada a {tema} e explica como funciona.; Pesquisa sobre as aplicações modernas de {tema} na tecnologia.
Astronomia Observacional,Faz uma comparação entre {tema} e um conceito semelhante de outra área.; Desenha uma linha do tempo dos eventos mais importantes de {tema}.; Escreve um argumento defendendo e outro contra {tema}.; Faz uma entrevista com um especialista na área de {tema} e resume os pontos-chave.; Desenha um cartaz explicativo sobre {tema} e coloca na tua escola.; Escreve um guião para um vídeo de YouTube educativo sobre {tema}.
Blockchain e Criptomoedas,Desenvolve um podcast curto sobre {tema} e partilha com colegas.; Cria um quiz de 10 perguntas sobre {tema} e testa os teus amigos.; Imagina que vives num mundo sem {tema}. Como seria o impacto na tua vida?; Encontra um documentário sobre {tema} e faz um resumo dos pontos principais.; Desenvolve uma app ou jogo educativo para ensinar sobre {tema}.; Cria um website simples que explique {tema} para iniciantes.
Cálculo Diferencial,Elabora um workshop educativo prático sobre {tema}.; Cria um diário de estudo para aprender sobre {tema} em 5 dias.; Elabora um relatório sobre os desafios futuros relacionados com {tema}.; Descobre uma inovação recente relacionada a {tema} e explica como funciona.; Cria um jogo de cartas onde cada carta tem um conceito sobre {tema}.; Cria um quiz de 10 perguntas sobre {tema} e testa os teus amigos.
Expansão Marítima Portuguesa,Cria um diário fictício de alguém que viveu um evento histórico ligado a {tema}.; Encontra e analisa um caso real que envolva {tema}.; Pesquisa sobre as aplicações modernas de {tema} na tecnologia.; Cria um TikTok educativo explicando um conceito de {tema} de forma criativa.; Escreve um discurso político que mencione a importância de {tema}.; Escreve um argumento defendendo e outro contra {tema}.
Mitologia Nórdica,Cria um enigma ou puzzle matemático baseado em {tema}.; Encontra um documentário sobre {tema} e faz um resumo dos pontos principais.; Cria um desafio de 30 dias para aprender algo novo sobre {tema} todos os dias.; Cria um diário fictício de alguém que viveu um evento histórico ligado a {tema}.; Faz um diagrama ilustrado detalhando o funcionamento de {tema}.; Elabora um relatório sobre os desafios futuros relacionados com {tema}.
Grandes Descobrimentos,Desenha um infográfico para explicar {tema} de forma visual.; Cria um TikTok educativo explicando um conceito de {tema} de forma criativa.; Escreve um código de programação simples que ilustre um conceito de {tema}.; Desenha uma linha do tempo dos eventos mais importantes de {tema}.; Imagina que vives num mundo sem {tema}. Como seria o impacto na tua vida?; Cria um jogo de tabuleiro onde {tema} é a base da mecânica do jogo.
Geometria Fractal,Cria um jogo de tabuleiro onde {tema} é a base da mecânica do jogo.; Desenha uma linha do tempo dos eventos mais importantes de {tema}.; Escreve um artigo de opinião sobre a importância de {tema} na sociedade.; Faz um debate com um amigo sobre {tema} e anota os pontos principais.; Descobre uma inovação recente relacionada a {tema} e explica como funciona.; Escreve uma história fictícia onde {tema} desempenha um papel crucial.
Direitos Humanos,Descobre uma inovação recente relacionada a {tema} e explica como funciona.; Pesquisa como {tema} está ligado a outra área do conhecimento e explica a conexão.; Desenvolve uma app ou jogo educativo para ensinar sobre {tema}.; Faz uma comparação entre {tema} e um conceito semelhante de outra área.; Desenha um infográfico para explicar {tema} de forma visual.; Desenha um cartaz explicativo sobre {tema} e coloca na tua escola.
Big Bang e a Origem do Universo,Desenha uma linha do tempo dos eventos mais importantes de {tema}.; Desenvolve um podcast curto sobre {tema} e partilha com colegas.; Escreve um discurso político que mencione a importância de {tema}.; Cria um website simples que explique {tema} para iniciantes.; Faz uma comparação entre {tema} e um conceito semelhante de outra área.; Elabora um plano de aula sobre {tema} para ensinar a um aluno do 9º ano.
Arte Renascentista,Explica {tema} em apenas 5 frases para um amigo que nunca ouviu falar sobre isso.; Desenvolve um podcast curto sobre {tema} e partilha com colegas.; Imagina que vives num mundo sem {tema}. Como seria o impacto na tua vida?; Escreve um guião para um vídeo de YouTube educativo sobre {tema}.; Faz um jogo de perguntas e respostas sobre {tema} para testar os teus conhecimentos.; Cria uma apresentação em PowerPoint sobre os conceitos principais de {tema}.
